Date;Price;;;;;;;;
2/7/2018;19.953;;;;;;;;
3/7/2018;19.4565;;;;;;;;
4/7/2018;19.4495;;;;;;;;
5/7/2018;19.215;;;;;;;;
6/7/2018;19.0278;;;;;;;;
9/7/2018;19.22;;;;;;;;
10/7/2018;18.9271;;;;;;;;
11/7/2018;19.083;;;;;;;;
12/7/2018;18.9795;;;;;;;;
13/7/2018;18.891;;;;;;;;
16/7/2018;18.82;;;;;;;;
17/7/2018;18.8893;;;;;;;;
18/7/2018;18.8965;;;;;;;;
19/7/2018;19.0535;;;;;;;;
20/7/2018;19.024;;;;;;;;
23/7/2018;18.882;;;;;;;;
24/7/2018;18.8805;;;;;;;;
25/7/2018;18.6676;;;;;;;;
26/7/2018;18.6259;;;;;;;;
27/7/2018;18.6283;;;;;;;;
30/7/2018;18.5395;;;;;;;;
31/7/2018;18.648;;;;;;;;
1/8/2018;18.588;;;;;;;;
2/8/2018;18.6505;;;;;;;;
3/8/2018;18.554;;;;;;;;
6/8/2018;18.519;;;;;;;;
7/8/2018;18.4571;;;;;;;;
8/8/2018;18.4711;;;;;;;;
9/8/2018;18.6928;;;;;;;;
10/8/2018;18.91;;;;;;;;
13/8/2018;19.12;;;;;;;;
14/8/2018;18.8826;;;;;;;;
15/8/2018;19.1373;;;;;;;;
16/8/2018;18.982;;;;;;;;
17/8/2018;18.8935;;;;;;;;
20/8/2018;19.005;;;;;;;;
21/8/2018;18.9562;;;;;;;;
22/8/2018;18.7287;;;;;;;;
23/8/2018;19.009;;;;;;;;
24/8/2018;18.9115;;;;;;;;
27/8/2018;18.7655;;;;;;;;
28/8/2018;19.0822;;;;;;;;
29/8/2018;18.9554;;;;;;;;
30/8/2018;19.1135;;;;;;;;
31/8/2018;19.085;;;;;;;;
3/9/2018;19.1927;;;;;;;;
4/9/2018;19.4035;;;;;;;;
5/9/2018;19.3427;;;;;;;;
6/9/2018;19.183;;;;;;;;
7/9/2018;19.324;;;;;;;;
10/9/2018;19.2715;;;;;;;;
11/9/2018;19.187;;;;;;;;
12/9/2018;19.0177;;;;;;;;
13/9/2018;18.8335;;;;;;;;
14/9/2018;18.8882;;;;;;;;
17/9/2018;18.838;;;;;;;;
18/9/2018;18.8068;;;;;;;;
19/9/2018;18.776;;;;;;;;
20/9/2018;18.828;;;;;;;;
21/9/2018;18.8315;;;;;;;;
24/9/2018;18.9685;;;;;;;;
25/9/2018;18.992;;;;;;;;
26/9/2018;18.843;;;;;;;;
27/9/2018;18.7843;;;;;;;;
28/9/2018;18.7184;;;;;;;;
1/10/2018;18.7076;;;;;;;;
2/10/2018;18.794;;;;;;;;
3/10/2018;19.044;;;;;;;;
4/10/2018;19.097;;;;;;;;
5/10/2018;18.818;;;;;;;;
8/10/2018;18.938;;;;;;;;
9/10/2018;19.038;;;;;;;;
10/10/2018;19.1556;;;;;;;;
11/10/2018;18.979;;;;;;;;
12/10/2018;18.8515;;;;;;;;
15/10/2018;18.833;;;;;;;;
16/10/2018;18.7515;;;;;;;;
17/10/2018;18.87;;;;;;;;
18/10/2018;19.149;;;;;;;;
19/10/2018;19.257;;;;;;;;
22/10/2018;19.408;;;;;;;;
23/10/2018;19.297;;;;;;;;
24/10/2018;19.6001;;;;;;;;
25/10/2018;19.489;;;;;;;;
26/10/2018;19.354;;;;;;;;
29/10/2018;20.055;;;;;;;;
30/10/2018;20.0419;;;;;;;;
31/10/2018;20.3295;;;;;;;;
1/11/2018;20.148;;;;;;;;
2/11/2018;20.024;;;;;;;;
5/11/2018;19.8825;;;;;;;;
6/11/2018;19.724;;;;;;;;
7/11/2018;19.864;;;;;;;;
8/11/2018;20.1958;;;;;;;;
9/11/2018;20.1384;;;;;;;;
12/11/2018;20.361;;;;;;;;
13/11/2018;20.486;;;;;;;;
14/11/2018;20.405;;;;;;;;
15/11/2018;20.224;;;;;;;;
16/11/2018;20.141;;;;;;;;
19/11/2018;20.371;;;;;;;;
20/11/2018;20.349;;;;;;;;
21/11/2018;20.241;;;;;;;;
22/11/2018;20.3075;;;;;;;;
23/11/2018;20.4;;;;;;;;
26/11/2018;20.616;;;;;;;;
27/11/2018;20.47;;;;;;;;
28/11/2018;20.2913;;;;;;;;
29/11/2018;20.23;;;;;;;;
30/11/2018;20.396;;;;;;;;
3/12/2018;20.353;;;;;;;;
4/12/2018;20.507;;;;;;;;
5/12/2018;20.495;;;;;;;;
6/12/2018;20.347;;;;;;;;
7/12/2018;20.2575;;;;;;;;
10/12/2018;20.3;;;;;;;;
11/12/2018;20.2;;;;;;;;
12/12/2018;20.072;;;;;;;;
13/12/2018;20.315;;;;;;;;
14/12/2018;20.233;;;;;;;;
17/12/2018;20.07;;;;;;;;
18/12/2018;20.072;;;;;;;;
19/12/2018;20.108;;;;;;;;
20/12/2018;19.875;;;;;;;;
21/12/2018;19.94;;;;;;;;
24/12/2018;19.8675;;;;;;;;
25/12/2018;19.9117;;;;;;;;
26/12/2018;19.9;;;;;;;;
27/12/2018;19.668;;;;;;;;
28/12/2018;19.651;;;;;;;;
31/12/2018;19.6403;;;;;;;;
1/1/2019;19.643;;;;;;;;
2/1/2019;19.5625;;;;;;;;
3/1/2019;19.622;;;;;;;;
4/1/2019;19.42;;;;;;;;
7/1/2019;19.3544;;;;;;;;
8/1/2019;19.358;;;;;;;;
9/1/2019;19.224;;;;;;;;
10/1/2019;19.1231;;;;;;;;
11/1/2019;19.131;;;;;;;;
14/1/2019;18.975;;;;;;;;
15/1/2019;18.9885;;;;;;;;
16/1/2019;18.887;;;;;;;;
17/1/2019;19.0106;;;;;;;;
18/1/2019;19.0775;;;;;;;;
21/1/2019;19.159;;;;;;;;
22/1/2019;19.1682;;;;;;;;
23/1/2019;19.0224;;;;;;;;
24/1/2019;19.018;;;;;;;;
25/1/2019;18.9797;;;;;;;;
28/1/2019;19.038;;;;;;;;
29/1/2019;18.986;;;;;;;;
30/1/2019;19.123;;;;;;;;
31/1/2019;19.1058;;;;;;;;
1/2/2019;19.094;;;;;;;;
4/2/2019;19.1044;;;;;;;;
5/2/2019;19.0288;;;;;;;;
6/2/2019;19.102;;;;;;;;
7/2/2019;19.09;;;;;;;;
8/2/2019;19.0703;;;;;;;;
11/2/2019;19.2987;;;;;;;;
12/2/2019;19.2506;;;;;;;;
13/2/2019;19.427;;;;;;;;
14/2/2019;19.256;;;;;;;;
15/2/2019;19.2352;;;;;;;;
18/2/2019;19.2385;;;;;;;;
19/2/2019;19.139;;;;;;;;
20/2/2019;19.214;;;;;;;;
21/2/2019;19.285;;;;;;;;
22/2/2019;19.1365;;;;;;;;
25/2/2019;19.126;;;;;;;;
